kernel  	gamma  	  degree	  C	  tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	   cp_gap	    cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	    a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0543809	0.235223 	 8.64318	        5	       0.0299143	    0.00127363 	        0.241124	      0.0945836	  0.0214839	0.985853   	 3.22919	          2	exact       	 1     	    1    	      4	    0.1  	x              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0523796	0.235223 	 8.64318	        5	       0.0299132	    0.00127361 	        0.241137	      0.0945958	  0.0250807	0.985893   	 3.22888	          2	exact       	 1     	    1    	      4	    0.1  	x              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0553808	0.235223 	 8.64318	        5	       0.0299132	    0.00127361 	        0.241137	      0.0945958	  0.0224848	0.985893   	 3.22889	          2	exact       	 1     	    1    	      4	    0.1  	x              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0601263	0.235223 	 8.64318	        5	       0.0134652	    0.00026301 	        0.243169	      0.0947365	  0.130683 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      4	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.066385 	0.235223 	 8.64318	        5	       0.0135397	    0.000262027	        0.243106	      0.0946763	  0.127225 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      4	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0576363	0.235223 	 8.64318	        5	       0.013586 	    0.000266417	        0.243152	      0.0947136	  0.147027 	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      4	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0583839	0.235223 	 8.64318	        5	       0.0135902	    0.00026658 	        0.243153	      0.0947135	  0.155986 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      4	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0504746	0.235223 	 8.64318	        5	       0.0159394	    0.000392366	        0.245303	      0.096813 	  0.0223241	0.95412    	 3.28834	          3	exact       	 1     	    1    	      4	    0.1  	f              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0543537	0.235223 	 8.64318	        5	       0.0159258	    0.000391498	        0.245267	      0.0967896	  0.0232399	0.954066   	 3.2882 	          3	exact       	 1     	    1    	      4	    0.1  	f              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0535634	0.235223 	 8.64318	        5	       0.0159414	    0.000392365	        0.245275	      0.0967972	  0.0270214	0.954099   	 3.28803	          3	exact       	 1     	    1    	      4	    0.1  	f              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.108511 	0.235223 	 8.64318	        5	       0.0159413	    0.000392361	        0.245275	      0.0967972	  0.0251553	0.954099   	 3.28803	          3	exact       	 1     	    1    	      4	    0.1  	f              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0574913	0.235223 	 8.64318	        5	       0.0299143	    0.00127363 	        0.241124	      0.0945836	  0.0229394	0.985853   	 3.22919	          2	exact       	 1     	    1    	      4	    0.01 	x              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0531211	0.235223 	 8.64318	        5	       0.0299143	    0.00127363 	        0.241124	      0.0945836	  0.0229697	0.985853   	 3.22919	          2	exact       	 1     	    1    	      4	    0.01 	x              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0566721	0.235223 	 8.64318	        5	       0.0299132	    0.00127361 	        0.241137	      0.0945958	  0.0225334	0.985893   	 3.22888	          2	exact       	 1     	    1    	      4	    0.01 	x              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0588734	0.235223 	 8.64318	        5	       0.0299132	    0.00127361 	        0.241137	      0.0945958	  0.0243483	0.985893   	 3.22889	          2	exact       	 1     	    1    	      4	    0.01 	x              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0544775	0.235223 	 8.64318	        5	       0.0134652	    0.00026301 	        0.243169	      0.0947365	  0.13096  	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      4	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.053627 	0.235223 	 8.64318	        5	       0.0135397	    0.000262027	        0.243106	      0.0946763	  0.130705 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      4	    0.01 	d              	    0.01
